text,topic
I'm so tired.,Daily Life
I'm confused.,Daily Life
I'm twenty three years old.,Daily Life
I'm hungry.,Daily Life
I'm nervous.,Daily Life
I'm excited.,Daily Life
I'm leaving work.,Daily Life
I'm thirsty.,Daily Life
I'm from Seattle.,Daily Life
I'm extremely tired.,Daily Life
I'm very happy.,Daily Life
I'm terribly hungry.,Daily Life
I am super excited.,Daily Life
I'm very nervous.,Daily Life
I'm in the shower.,Daily Life
I'm in the lobby.,Daily Life
I'm in a car.,Daily Life
I'm in a house.,Daily Life
I'm in a school.,Daily Life
I'm at the grocery.,Daily Life
I'm at the mall.,Daily Life
I'm at the doctor's office.,Daily Life
I'm at the park.,Daily Life
I'm at the airport.,Daily Life
I'm at the mall.,Daily Life
I'm in the mall.,Daily Life
I'm at the park.,Daily Life
I'm in the park.,Daily Life
I'm at the grocery.,Daily Life
I'm in the grocery.,Daily Life
I'm on the phone.,Daily Life
I'm on my computer.,Daily Life
I'm on a bus.,Daily Life
I'm good at drawing.,Daily Life
I'm good at video games.,Daily Life
I'm good at swimming.,Daily Life
I'm good at driving.,Daily Life
I'm good at reading.,Daily Life
I'm good at sports.,Daily Life
I'm good at writing.,Daily Life
I'm good at math.,Daily Life
I'm good at dancing.,Daily Life
I'm good at chess.,Daily Life
I'm eating lunch.,Daily Life
I'm brushing my teeth.,Daily Life
I'm scared.,Daily Life
I'm driving to work.,Daily Life
I'm crying.,Daily Life
I'm typing an email.,Daily Life
I'm cooking dinner.,Daily Life
I'm combing my hair.,Daily Life
I'm hanging a picture.,Daily Life
I am texting.,Daily Life
I am dancing.,Daily Life
I am interested in the job.,Daily Life
I am exercising.,Daily Life
I am learning.,Daily Life
I'm getting better.,Daily Life
I'm getting ready for bed.,Daily Life
I'm getting a tooth ache.,Daily Life
I'm getting a cold.,Daily Life
I'm getting married.,Daily Life
I'm getting tired.,Daily Life
I'm getting good at reading.,Daily Life
I'm getting a new car.,Daily Life
I'm getting a job.,Daily Life
I'm getting a puppy.,Daily Life
I'm trying to get a job.,Daily Life
I'm trying to call my family.,Daily Life
I'm trying to enjoy my dinner.,Daily Life
I'm trying to educate myself.,Daily Life
I'm trying to explain myself.,Daily Life
I'm trying new food.,Daily Life
I'm trying to eat healthy.,Daily Life
I'm trying to understand.,Daily Life
Learning new things can be trying on you.,Daily Life
That marathon was very trying on me.,Daily Life
I'm gonna have some coffee.,Daily Life
I'm gonna go to work.,Daily Life
I'm gonna eat some cake.,Daily Life
I'm gonna send out my resume.,Daily Life
I'm gonna run a marathon.,Daily Life
I'm gonna ask her out for dinner.,Daily Life
I'm gonna stop smoking.,Daily Life
I'm gonna help my friends.,Daily Life
I'm gonna take swim lessons.,Daily Life
I'm gonna read a book.,Daily Life
I have a cat.,Daily Life
I have a nice car.,Daily Life
I have a house.,Daily Life
I have a computer.,Daily Life
I have a headache.,Daily Life
I cannot have that behavior in my house.,Daily Life
I cannot have you over tonight.,Daily Life
I won't have anything to do with that.,Daily Life
I won't have it any other way.,Daily Life
I have done it.,Daily Life
I have heard that before.,Daily Life
I have driven a car.,Daily Life
I have forgotten the words.,Daily Life
I have read that book.,Daily Life
I have eaten at that restaurant before.,Daily Life
I have flown in an airplane.,Daily Life
I have forgiven you.,Daily Life
I have seen you before.,Daily Life
I have written a letter.,Daily Life
I used to develop websites.,Daily Life
I used to jog every day.,Daily Life
I used to paint.,Daily Life
I used to smoke.,Daily Life
I used to work from home.,Daily Life
I used to live in California.,Daily Life
I used to go to the beach every day.,Daily Life
I used to sing in a choir.,Daily Life
I used to like vegetables.,Daily Life
I used to start work at 6 o'clock.,Daily Life
I have to switch schools.,Daily Life
I have to use the telephone.,Daily Life
I have to go to the bathroom.,Daily Life
I have to leave.,Daily Life
I have to unpack my bags.,Daily Life
